COHORTE,AGE_PRET_BIN,AGE_MOIS,ER_obs,ER_moyen_age,ER_moyen_coh,EAD_sum
2015,36-60,49.0,0.2612,0.1198,0.0761,1914.56
2015,36-60,49.0,0.5944,0.1198,0.0761,4206.17
2015,36-60,49.0,0.0132,0.1198,0.0761,71954.65
2015,36-60,49.0,0.0265,0.1198,0.0761,19954.48
2015,36-60,49.0,0.054,0.1198,0.0761,9258.6
2015,36-60,49.0,0.4477,0.1198,0.0761,11168.18
2015,36-60,50.0,0.0257,0.1198,0.0761,1948.85
2015,36-60,50.0,0.0164,0.1198,0.0761,39263.59
2015,36-60,50.0,0.0488,0.1198,0.0761,70834.24
2015,36-60,50.0,0.0267,0.1198,0.0761,36557.03
2015,36-60,50.0,0.0,0.1198,0.0761,58616.95
