COHORTE,AGE_PRET_BIN,AGE_MOIS,ER_obs,ER_pred,RA_sum,EAD_sum
2013,60-120,69.0,0.02673401261488942,0.3408264694202442,300.0,11221.66
2013,60-120,70.0,0.017454953116411705,0.3408264694202442,962.22,55125.9
2013,60-120,70.0,0.027955232629339917,0.34462948183495207,470.24,16821.18
2013,60-120,70.0,0.018468613361118335,0.33656373238391507,120.0,6497.51
2013,60-120,71.0,0.07211781165712308,0.33550882614845157,200.0,2773.24
2013,60-120,71.0,0.13352459141475026,0.3266011519868284,700.0,5242.4800000000005
2013,60-120,71.0,0.2521448067625237,0.3408264694202442,400.0,1586.39
2013,60-120,72.0,0.017874511721289732,0.3408264694202442,962.22,53831.96
2013,60-120,72.0,0.020907464009135228,0.3408264694202442,940.0,44960.02
2013,60-120,72.0,0.0,0.33656373238391507,0.0,21030.74
2013,60-120,73.0,0.03330375600443502,0.3408264694202442,210.56,6322.41
2013,60-120,73.0,0.1105392971469554,0.35199211733057206,315.96,2858.35
2013,60-120,73.0,0.15434877678594397,0.3374230998987695,300.0,1943.65
2013,60-120,73.0,0.021141777434211396,0.3408264694202442,940.0,44461.73
2013,60-120,74.0,0.0,0.3408264694202442,0.0,25191.31
2013,60-120,74.0,0.20841542329526339,0.3483177760588111,5049.17,24226.47
2013,60-120,74.0,0.05325498211548288,0.3266011519868284,104.22,1957.0
2013,60-120,74.0,0.07640470041716967,0.34462948183495207,100.0,1308.82
2013,60-120,74.0,0.07034897465288976,0.3408264694202442,865.96,12309.49
2013,60-120,76.0,0.0,0.3491920599261233,0.0,5049.89
2013,60-120,76.0,0.5354816858569916,0.3408264694202442,4000.0,7469.91
2013,60-120,76.0,0.0,0.33550882614845157,0.0,33732.13
2013,60-120,76.0,0.02198066650790977,0.35746257880495513,1135.33,51651.3
2013,60-120,76.0,0.0,0.33656373238391507,0.0,20770.8
2013,60-120,77.0,0.28523313815780466,0.3408264694202442,2500.0,8764.76
2013,60-120,77.0,0.0463009246666256,0.3374230998987695,2548.17,55034.97
2013,60-120,77.0,0.0,0.3266011519868284,0.0,14557.51
2013,60-120,77.0,0.5615706006559145,0.34462948183495207,3000.0,5342.16
2013,60-120,77.0,0.4717362440278344,0.3408264694202442,10058.28,21321.83
2013,60-120,78.0,0.6792370809107211,0.3408264694202442,2000.0,2944.48
2013,60-120,79.0,0.0787565321778091,0.3408264694202442,1588.32,20167.47
2013,60-120,80.0,0.0,0.3408264694202442,0.0,11095.2
2013,60-120,80.0,0.2584468405305312,0.3408264694202442,4192.0,16219.97
2013,60-120,81.0,0.18903019946466648,0.3266011519868284,250.0,1322.54
