Age,Hazard_brut,Nb_RA,Nb_at_risk,SE,Hazard_lisse,Survie,ER_cumule,SMM,CPR,SMM_PSA,CPR_PSA,Survie_PSA,ER_PSA
29,0.9899909008189263,1088,1099,0.0030027159551077056,0.9895580909858491,4.5302878993091383e-60,1.0,0.9895580909858491,1.0,0.004966791530059078,0.058,0.9287000815297181,0.07129991847028194
30,0.9925719591457753,1069,1077,0.0026164370550145004,0.989618754499591,4.703003087026022e-62,1.0,0.989618754499591,1.0,0.005143012831822946,0.06,0.9239237650934957,0.07607623490650428
31,0.9851924975320829,998,1013,0.003794868507305502,0.9896507677256218,4.867247133475015e-64,1.0,0.9896507677256218,1.0,0.005143012831822946,0.06,0.9191720133139937,0.08082798668600633
32,0.9900891972249752,999,1009,0.003118501769091193,0.9896499865662507,5.03760732168442e-66,1.0,0.9896499865662507,1.0,0.005143012831822946,0.06,0.9144446998548673,0.08555530014513268
33,0.9866284622731614,1033,1047,0.0035497204788805174,0.9896122669237861,5.232932020043846e-68,1.0,0.9896122669237861,1.0,0.005143012831822946,0.06,0.9097416990295213,0.09025830097047871
34,0.9874869655891554,947,959,0.0035895309456063654,0.9895334647005367,5.477066770748063e-70,1.0,0.9895334647005367,1.0,0.005143012831822946,0.06,0.9050628857977681,0.09493711420223194
35,0.9816612729234089,910,927,0.004406822474442655,0.989409435798811,5.800522726980617e-72,1.0,0.989409435798811,1.0,0.005143012831822946,0.06,0.9004081357625034,0.09959186423749655
36,0.9867109634551495,891,903,0.0038106393653445205,0.9892360361209176,6.2436617113015934e-74,1.0,0.9892360361209176,1.0,0.005143012831822946,0.06,0.8957773251663991,0.10422267483360093
37,0.9829351535836177,864,879,0.0043683677091951615,0.9890091215691649,6.862332683217582e-76,1.0,0.9890091215691649,1.0,0.005143012831822946,0.06,0.8911703308886122,0.1088296691113878
38,0.9911949685534591,788,795,0.0033133051517535875,0.9887245480458622,7.737590246292948e-78,1.0,0.9887245480458622,1.0,0.005143012831822946,0.06,0.8865870304415122,0.11341296955848779
39,0.9825970548862115,734,747,0.004784524726760628,0.9883781714533173,8.9924947206901e-80,1.0,0.9883781714533173,1.0,0.005143012831822946,0.06,0.8820273019674237,0.11797269803257626
40,0.9853333333333333,739,750,0.004389617379765668,0.9879658476938393,1.0821705108113045e-81,1.0,0.9879658476938393,1.0,0.005143012831822946,0.06,0.877491024235387,0.12250897576461295
41,0.9887798036465638,705,713,0.003944620770817284,0.9874834326697368,1.3545060061394996e-83,1.0,0.9874834326697368,1.0,0.005143012831822946,0.06,0.872978076637935,0.12702192336206497
42,0.9859943977591037,704,714,0.004397835816560268,0.9869267822833181,1.7707751916814956e-85,1.0,0.9869267822833181,1.0,0.005143012831822946,0.06,0.868488339187886,0.13151166081211396
43,0.9910044977511244,661,667,0.003655843566970009,0.9862917524368922,2.427422470617969e-87,1.0,0.9862917524368922,1.0,0.005143012831822946,0.06,0.8640216925151541,0.13597830748484585
44,0.9860031104199067,634,643,0.004632862643213174,0.9855741990327671,3.501751342452356e-89,1.0,0.9855741990327671,1.0,0.005143012831822946,0.06,0.8595780178635753,0.14042198213642465
