ID;AGE_CLI;B_MAT;B_RESMAT;CLASSACT;CSP;DARRET;E_OFF;MREVTOT;MTECH;NBIMP;NB_ECH;produit;RA;Tx;EAD;AGE_PRET;HORIZON_RES;CSP_grp;CRD;ER_obs;FLAG_ER;Capital_initial;Date_origination;Cohorte
a000175;41.0;61.0;1.0;1;36.0;2019-01-01;0.0;5112.0;14.36;0;41;AMO;700.0;2.167452739121905;14.31;60.0;1;SALARIE;14.36;1.0;1;875.9599999999999;2014-01-27;2014Q1
a000176;23.0;49.0;9.0;1;64.0;2019-01-01;0.0;2313.0;160.74;0;48;AMO;1296.55;2.091064564546959;0.0;40.0;9;INACTIF;1446.66;0.8962368490177374;1;7876.26;2015-09-19;2015Q3
a000177;28.0;61.0;22.0;1;60.0;2019-01-01;0.0;1379.0;86.23;0;60;AMO;1681.62;2.278151250383644;0.0;39.0;22;INACTIF;1897.0600000000002;0.886434799110202;1;5260.030000000001;2015-10-19;2015Q4
a000178;46.0;49.0;18.0;1;53.0;2019-01-01;0.0;2394.0;152.07;0;48;AMO;2654.61;2.0277585441431003;0.0;31.0;18;SALARIE;2737.2599999999998;0.9698055719953531;1;7451.429999999999;2016-06-15;2016Q2
a000179;40.0;61.0;36.0;1;56.0;2019-01-01;0.0;1697.0;210.98;0;60;AMO;7246.63;2.012417509907123;0.0;25.0;36;SALARIE;7595.28;0.9540964915052507;1;12869.779999999999;2016-12-12;2016Q4
a000181;49.0;60.0;28.0;1;47.0;2019-01-01;0.0;1948.0;223.7;0;60;AMO;5199.93;2.3439797476671487;0.0;32.0;28;SALARIE;6263.599999999999;0.8301823232645764;1;13422.0;2016-05-16;2016Q2
a000182;70.0;48.0;27.0;1;70.0;2019-01-01;0.0;2195.0;47.65;0;48;AMO;1245.19;2.294418071291285;0.0;21.0;27;SALARIE;1286.55;0.967852007306362;1;2287.2;2017-04-11;2017Q2
a000183;60.0;37.0;22.0;1;42.0;2019-01-01;0.0;2808.0;63.91;0;36;AMO;1286.49;2.2829022683257945;0.0;15.0;22;INDEPENDANT;1406.02;0.9149869845379156;1;2364.67;2017-10-08;2017Q4
a000184;37.0;61.0;47.0;1;56.0;2019-01-01;0.0;2368.0;51.62;0;60;AMO;500.0;2.2407571066273495;1568.4;14.0;47;SALARIE;2426.14;0.20608868408253442;1;3148.8199999999997;2017-11-07;2017Q4
a000185;69.0;36.0;1.0;1;70.0;2019-01-01;0.0;1200.0;48.02;0;13;AMO;1256.0;2.3285309397672487;0.23;35.0;1;SALARIE;48.02;1.0;1;1728.72;2016-02-16;2016Q1
a000186;43.0;25.0;17.0;1;48.0;2019-01-01;0.0;2280.0;125.36;0;24;AMO;2074.96;2.1767849802055457;0.0;8.0;17;SALARIE;2131.12;0.973647659446676;1;3134.0;2018-05-06;2018Q2
a000187;40.0;23.0;1.0;1;52.0;2019-01-01;0.0;2091.0;100.67;0;7;AMO;1849.17;1.956669555329463;100.43;22.0;1;SALARIE;100.67;1.0;1;2315.41;2017-03-12;2017Q1
a000188;59.0;60.0;54.0;1;60.0;2019-01-01;0.0;1500.0;183.54;0;60;AMO;8468.26;2.223373374065942;0.0;6.0;54;INACTIF;9911.16;0.8544166374067214;1;11012.4;2018-07-05;2018Q3
a000190;61.0;61.0;4.0;1;70.0;2019-01-01;0.0;920.0;77.96;0;60;AMO;167.13;2.3824105905492;201.98;57.0;4;SALARIE;311.84;0.5359479220112878;1;4755.5599999999995;2014-04-27;2014Q2
a000191;62.0;60.0;1.0;1;47.0;2019-01-01;0.0;2067.0;263.82;0;40;AMO;5943.37;2.3792105247758606;1.38;59.0;1;SALARIE;263.82;1.0;1;15829.199999999999;2014-02-26;2014Q1
a000192;66.0;61.0;2.0;1;70.0;2019-01-01;0.0;1515.0;221.54;0;38;AMO;4343.77;2.356003308129873;22.43;59.0;2;SALARIE;443.08;1.0;1;13513.939999999999;2014-02-26;2014Q1
a000193;66.0;48.0;12.0;1;70.0;2019-01-01;0.0;725.0;42.51;0;48;AMO;461.21;2.3824105905492;0.0;36.0;12;SALARIE;510.12;0.9041205990747274;1;2040.48;2016-01-17;2016Q1
a000195;66.0;61.0;2.0;1;70.0;2019-01-01;0.0;1515.0;307.03;0;31;AMO;7734.81;2.3493577622988093;1.52;59.0;2;SALARIE;614.06;1.0;1;18728.829999999998;2014-02-26;2014Q1
a000196;67.0;60.0;33.0;1;70.0;2019-01-01;0.0;1586.0;33.6;0;60;AMO;1031.0;2.3824105905492;0.0;27.0;33;SALARIE;1108.8;0.9298340548340549;1;2016.0;2016-10-13;2016Q4
a000197;43.0;49.0;25.0;1;56.0;2019-01-01;0.0;1868.0;39.14;0;48;AMO;882.33;2.3824105905492;0.0;24.0;25;SALARIE;978.5;0.9017169136433316;1;1917.8600000000001;2017-01-11;2017Q1
a000198;70.0;48.0;26.0;1;70.0;2019-01-01;0.0;2456.0;51.09;0;48;AMO;1314.0;2.2593654994071057;0.0;22.0;26;SALARIE;1328.3400000000001;0.98920457111884;1;2452.32;2017-03-12;2017Q1
a000199;56.0;48.0;27.0;1;52.0;2019-01-01;0.0;2200.0;36.36;0;48;AMO;966.18;2.3824105905492;0.0;21.0;27;SALARIE;981.72;0.9841706392861508;1;1745.28;2017-04-11;2017Q2
a000200;55.0;25.0;7.0;1;55.0;2019-01-01;0.0;3500.0;456.95;0;24;AMO;3082.0;2.2278662833012417;0.0;18.0;7;SALARIE;3198.65;0.9635314898472793;1;11423.75;2017-07-10;2017Q3
a000201;69.0;49.0;31.0;1;70.0;2019-01-01;0.0;2346.0;82.87;0;48;AMO;2113.98;2.4963361999875033;0.0;18.0;31;SALARIE;2568.9700000000003;0.8228901077085368;1;4060.63;2017-07-10;2017Q3
a000202;68.0;48.0;31.0;1;70.0;2019-01-01;0.0;1724.0;48.48;0;48;AMO;1368.7;2.3824105905492;0.0;17.0;31;SALARIE;1502.8799999999999;0.9107180879378262;1;2327.04;2017-08-09;2017Q3
a000203;55.0;49.0;32.0;1;60.0;2019-01-01;0.0;2100.0;36.36;0;48;AMO;1086.08;2.3824105905492;0.0;17.0;32;INACTIF;1163.52;0.9334433443344334;1;1781.6399999999999;2017-08-09;2017Q3
a000204;46.0;25.0;2.0;1;60.0;2019-01-01;0.0;1850.0;144.72;0;18;AMO;922.7;2.3824105905492;132.9;23.0;2;INACTIF;289.44;1.0;1;3618.0;2017-02-10;2017Q1
a000205;44.0;61.0;1.0;1;56.0;2019-01-01;0.0;1140.0;86.89;0;12;AMO;4259.31;2.3824105905492;0.39;60.0;1;SALARIE;86.89;1.0;1;5300.29;2014-01-27;2014Q1
a000206;43.0;47.0;33.0;1;47.0;2019-01-01;0.0;3138.0;74.46;0;48;AMO;2328.59;2.2593654994071057;0.0;14.0;33;SALARIE;2457.18;0.9476676515355001;1;3499.62;2017-11-07;2017Q4
a000207;47.0;48.0;1.0;1;52.0;2019-01-01;0.0;1879.0;13.06;0;15;AMO;1137.0;2.3824105905492;0.05;47.0;1;SALARIE;13.06;1.0;1;626.88;2015-02-21;2015Q1
a000208;52.0;48.0;36.0;1;54.0;2019-01-01;0.0;2372.0;74.46;0;48;AMO;2328.0;2.2593654994071057;0.0;12.0;36;SALARIE;2680.56;0.8684752439788701;1;3574.08;2018-01-06;2018Q1
