ID,AGE_CLI,B_MAT,B_RESMAT,CLASSACT,CSP,DARRET,E_OFF,MREVTOT,MTECH,NBIMP,NB_ECH,produit,RA,Tx,EAD,AGE_PRET,HORIZON_RES,CF_CAP_OBS,ER_obs,FLAG_ER,EAD_POST,Tx_bin,B_RESMAT_bin,AGE_PRET_BIN
a000934,35.0,96.0,59.0,1,46.0,2019-01-01,0.0,6650.0,234.14,0,96,AMO,253.28,2.372971449619862,10664.93,37.0,59,253.28,0.02374886661234532,1,10411.65,"(2.256, 2.786]","(55.2, 82.8]",36-60
a000983,60.0,48.0,11.0,1,31.0,2019-01-01,0.0,4500.0,225.11,0,48,AMO,490.27,2.088831631657487,2018.64,37.0,11,490.27,0.24287143819601315,1,1528.3700000000001,"(-1.501, 2.094]","(-0.276, 27.6]",36-60
a000988,57.0,54.0,19.0,1,70.0,2019-01-01,0.0,3762.0,113.09,0,54,AMO,0.0,2.535189274244586,1867.74,35.0,19,0.0,0.0,0,1867.74,"(2.256, 2.786]","(-0.276, 27.6]",12-36
a000990,52.0,75.0,21.0,1,47.0,2019-01-01,0.0,2357.0,92.0,0,55,AMO,500.0,2.4956349268476536,1647.46,54.0,21,500.0,0.30349750525050684,1,1147.46,"(2.256, 2.786]","(-0.276, 27.6]",36-60
a000995,49.0,85.0,50.0,1,43.0,2019-01-01,0.0,1500.0,185.11,0,84,AMO,411.06,2.2593654994071057,7553.56,35.0,50,411.06,0.054419373116782015,1,7142.5,"(2.256, 2.786]","(27.6, 55.2]",12-36
a001012,70.0,37.0,1.0,1,70.0,2019-01-01,0.0,2915.0,2366.5,0,36,AMO,-2574.0,2.1150024440703845,27.78,36.0,1,-2574.0,0.0,0,2601.78,"(2.094, 2.181]","(-0.276, 27.6]",12-36
a001017,39.0,121.0,86.0,1,60.0,2019-01-01,0.0,2337.0,547.91,0,120,AMO,1700.0,2.346460785493054,32848.69,35.0,86,1700.0,0.05175244431360885,1,31148.690000000002,"(2.256, 2.786]","(82.8, 110.4]",12-36
a001018,38.0,36.0,3.0,1,47.0,2019-01-01,0.0,1300.0,88.57,0,36,AMO,250.0,1.956669555329463,251.7,33.0,3,250.0,0.9932459276916965,1,1.6999999999999886,"(-1.501, 2.094]","(-0.276, 27.6]",12-36
a001055,35.0,48.0,15.0,1,54.0,2019-01-01,0.0,1840.0,29.0,0,47,AMO,60.32,2.5086000418244883,373.97,33.0,15,60.32,0.16129636067064201,1,313.65000000000003,"(2.256, 2.786]","(-0.276, 27.6]",12-36
a001065,55.0,61.0,1.0,1,54.0,2019-01-01,0.0,2510.0,133.53,0,33,AMO,-1928.9800000000005,2.1806073626269216,108.35,60.0,1,-1928.9800000000005,0.0,0,2037.3300000000004,"(2.094, 2.181]","(-0.276, 27.6]",36-60
a001070,68.0,96.0,63.0,1,70.0,2019-01-01,0.0,3000.0,308.65,0,95,AMO,667.72,2.366700664166126,14531.21,33.0,63,667.72,0.0459507501440004,1,13863.49,"(2.256, 2.786]","(55.2, 82.8]",12-36
a001078,53.0,48.0,17.0,1,31.0,2019-01-01,0.0,4772.0,270.05,0,48,AMO,293.15,2.0722904553405024,4494.71,31.0,17,293.15,0.06522111548909718,1,4201.56,"(-1.501, 2.094]","(-0.276, 27.6]",12-36
a001097,61.0,36.0,5.0,1,52.0,2019-01-01,0.0,2858.0,86.44,0,36,AMO,96.75,2.597153016324264,393.55,31.0,5,96.75,0.24583915639690002,1,296.8,"(2.256, 2.786]","(-0.276, 27.6]",12-36
a001103,43.0,85.0,74.0,1,60.0,2019-01-01,0.0,1600.0,529.79,0,99,AMO,572.95,2.346769744180209,26908.57,11.0,74,572.95,0.021292472992804897,1,26335.62,"(2.256, 2.786]","(55.2, 82.8]",0-12
a001136,42.0,48.0,21.0,1,31.0,2019-01-01,0.0,5942.0,358.51,0,48,AMO,388.81,2.0931751214388186,7311.07,27.0,21,388.81,0.05318099813023265,1,6922.259999999999,"(-1.501, 2.094]","(-0.276, 27.6]",12-36
a001146,46.0,60.0,34.0,1,31.0,2019-01-01,0.0,8000.0,300.27,0,60,AMO,652.12,2.1883306225269923,8653.77,26.0,34,652.12,0.07535675202830673,1,8001.650000000001,"(2.181, 2.256]","(27.6, 55.2]",12-36
a001177,54.0,49.0,24.0,1,46.0,2019-01-01,0.0,4333.0,571.83,0,48,AMO,4045.77,2.0834253672477683,11659.95,25.0,24,4045.77,0.3469800470842499,1,7614.18,"(-1.501, 2.094]","(-0.276, 27.6]",12-36
